jumlah cluster: 3

cluster 1 
jumlah anggota: 20 
------------------
57, A, Y, Y, Y, L, T, G, Y, Y, Y, WM, Y, WM, Y, P
73, B, Y, Y, Y, I, C, G, Y, Y, Y, WM, Y, WL, Y, R
70, A, Y, Y, Y, I, C, G, Y, Y, Y, WL, Y, WL, Y, S
5, B, Y, Y, Y, I, C, G, Y, Y, Y, WM, Y, WL, Y, P
10, B, Y, Y, Y, I, C, G, Y, Y, Y, WM, Y, WL, Y, S
101, B, Y, Y, Y, L, C, G, Y, Y, Y, WM, Y, WM, Y, S
54, B, Y, Y, Y, L, C, G, Y, Y, Y, WM, Y, WM, Y, P
55, A, Y, Y, Y, L, T, G, Y, Y, Y, WM, Y, WM, Y, P
16, B, Y, Y, Y, I, C, G, Y, Y, Y, WL, Y, WM, Y, S
102, B, Y, Y, Y, L, C, G, Y, Y, Y, WM, Y, WM, Y, S
87, A, Y, Y, Y, I, C, G, Y, Y, Y, WM, Y, WL, Y, R
97, A, Y, Y, Y, I, C, K, Y, Y, Y, WM, Y, WL, T, R
103, A, Y, Y, Y, L, C, G, Y, Y, Y, WL, Y, WL, Y, S
98, A, T, Y, Y, I, C, K, T, Y, Y, WM, T, WL, T, R
90, A, Y, Y, Y, L, T, G, Y, Y, T, WM, Y, WL, Y, Q
82, A, Y, Y, Y, I, C, G, Y, T, Y, WM, Y, WL, Y, S
83, A, Y, Y, Y, I, C, G, Y, Y, Y, WM, Y, WM, Y, S
61, A, Y, Y, Y, I, C, G, Y, Y, Y, WM, Y, WL, Y, S
74, A, Y, Y, Y, I, C, K, Y, Y, Y, WM, Y, WL, Y, S
56, A, Y, Y, Y, L, T, G, Y, Y, Y, WM, Y, WM, Y, P
centroid: ['A', 'Y', 'Y', 'Y', 'I', 'C', 'G', 'Y', 'Y', 'Y', 'WM', 'Y', 'WL', 'Y', 'S']
------------------

cluster 2 
jumlah anggota: 83 
------------------
53, B, Y, Y, Y, L, T, K, T, T, Y, WL, Y, WL, Y, R
62, B, Y, Y, Y, L, T, G, T, Y, T, WL, T, WL, Y, P
33, B, Y, Y, Y, L, T, G, T, T, T, WM, T, WL, Y, R
50, A, Y, Y, Y, L, T, K, Y, Y, Y, WL, Y, WL, Y, Q
15, A, Y, Y, Y, L, C, K, Y, Y, Y, WL, Y, WL, Y, R
63, B, Y, Y, Y, I, C, K, Y, Y, Y, WL, Y, WM, Y, R
76, B, Y, Y, Y, I, C, K, Y, Y, Y, WM, T, WL, Y, R
20, B, Y, Y, Y, L, T, G, T, T, Y, WL, Y, WL, Y, R
32, A, Y, Y, Y, L, C, K, Y, Y, T, WL, T, WL, Y, R
43, A, Y, Y, Y, L, T, G, Y, Y, Y, WL, Y, WL, Y, R
89, A, Y, Y, Y, L, C, G, T, T, Y, WL, Y, WL, Y, R
29, B, T, Y, T, I, T, G, Y, Y, Y, WM, Y, WL, Y, R
72, A, T, Y, Y, I, T, K, Y, Y, Y, WL, Y, WL, Y, R
7, B, T, Y, Y, I, T, G, Y, Y, Y, WL, Y, WM, Y, P
9, A, Y, Y, Y, I, T, K, Y, Y, Y, WL, Y, WL, Y, R
44, C, Y, Y, Y, L, T, G, T, T, T, WL, T, WL, Y, R
3, A, Y, Y, Y, L, C, K, Y, Y, Y, WL, Y, WL, Y, R
86, B, T, Y, Y, I, T, G, Y, Y, Y, WL, Y, WL, Y, R
88, B, Y, Y, Y, L, C, G, Y, T, T, WL, T, WL, Y, R
79, B, Y, Y, Y, I, C, K, Y, Y, Y, WL, Y, WL, Y, R
52, A, Y, Y, T, I, C, K, Y, Y, Y, WL, Y, WL, Y, R
35, B, Y, Y, Y, L, C, G, Y, Y, Y, WL, Y, WL, Y, R
41, B, T, Y, Y, L, T, G, Y, Y, Y, WL, Y, WL, T, R
100, B, Y, Y, Y, I, T, K, Y, T, T, WL, Y, WM, Y, R
93, B, Y, Y, Y, I, C, K, T, Y, T, WL, Y, WL, T, Q
30, A, Y, Y, Y, L, C, K, Y, Y, Y, WM, Y, WL, Y, R
37, A, T, Y, Y, L, T, G, T, T, T, WL, T, WM, Y, R
4, B, Y, Y, Y, L, T, G, T, Y, T, WL, T, WL, Y, P
99, B, Y, Y, Y, I, C, K, Y, T, Y, WL, Y, WL, T, R
14, B, T, Y, T, L, T, G, Y, Y, Y, WL, Y, WL, Y, R
27, B, Y, Y, Y, L, C, K, Y, Y, Y, WL, Y, WL, Y, R
49, B, Y, Y, Y, I, C, K, Y, Y, Y, WL, Y, WL, Y, R
47, B, Y, Y, Y, L, T, G, Y, T, Y, WL, Y, WM, Y, R
91, C, Y, Y, Y, L, C, K, Y, Y, Y, WL, Y, WL, Y, R
81, B, Y, Y, Y, I, C, G, Y, Y, Y, WL, Y, WL, Y, R
40, B, Y, Y, Y, L, T, G, Y, T, T, WL, Y, WL, Y, P
8, B, T, Y, Y, I, T, G, Y, Y, Y, WM, Y, WL, Y, P
25, B, Y, Y, Y, L, C, K, Y, Y, Y, WL, Y, WL, Y, R
